positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.069,0.049,0.776,76,10,21,33,12
0.088,0.077,0.678,57,13,17,21,6
0.028,0.028,0.833,18,1,7,6,4
0.09,0.053,0.724,263,35,85,106,37
0.04,0.03,0.832,123,18,23,71,11
0.045,0.032,0.795,39,3,13,21,2
0.001,0.001,0.501,171,1,1,169,0
0.072,0.05,0.767,592,75,228,208,81
0.07,0.054,0.715,360,52,109,170,29
0.069,0.058,0.671,556,58,170,234,94
0.101,0.064,0.706,108,12,37,39,20
0.094,0.085,0.751,213,29,73,86,25
0.058,0.059,0.709,126,17,40,50,19
0.098,0.073,0.668,87,15,28,34,10
0.08,0.034,0.647,67,12,27,23,5
0.067,0.096,0.675,68,10,19,33,6
0.047,0.012,0.629,32,3,8,13,8
0.049,0.036,0.678,114,10,24,65,15
0.027,0.08,0.662,87,9,23,41,14
0.056,0.062,0.828,241,38,54,133,16
0.105,0.068,0.718,55,9,16,24,6
0.07,0.039,0.859,32,8,9,14,1
