positive_score,negative_score,objective_score,word_count,adj_count,verb_count,noun_count,adv_count
0.004,0.004,0.307,35,1,4,27,3
0.048,0.021,0.666,83,11,24,45,3
0.092,0.044,0.706,114,17,34,55,8
0.068,0.05,0.826,90,11,33,31,15
0.081,0.013,0.756,20,2,7,8,3
0.077,0.091,0.716,26,3,6,15,2
0.004,0.0,0.208,33,3,3,25,2
0.226,0.06,0.667,21,5,5,8,3
0.049,0.079,0.774,41,3,8,27,3
0.035,0.038,0.622,46,2,12,27,5
0.072,0.04,0.729,157,19,60,57,21
0.065,0.048,0.669,133,23,31,65,14
0.076,0.048,0.74,236,31,72,110,23
0.065,0.018,0.833,48,7,17,17,7
0.095,0.091,0.653,62,7,20,25,10
0.09,0.029,0.833,104,9,42,36,17
0.061,0.051,0.667,136,22,43,46,25
0.063,0.036,0.834,302,28,115,109,50
0.087,0.026,0.852,112,8,46,42,16
0.074,0.044,0.784,152,25,49,65,13
0.023,0.042,0.754,33,4,5,18,6
0.075,0.046,0.781,164,19,62,53,30
0.095,0.039,0.728,29,5,11,8,5
0.042,0.012,0.708,21,5,6,8,2
0.114,0.049,0.807,33,3,6,21,3
0.049,0.025,0.645,484,87,122,236,39
0.019,0.01,0.894,26,0,14,7,5
0.158,0.08,0.63,53,9,16,23,5
0.0,0.25,0.75,224,0,224,0,0
0.046,0.035,0.792,652,73,210,284,85
0.046,0.046,0.855,19,1,5,9,4
0.095,0.035,0.51,25,5,8,8,4
0.064,0.043,0.618,962,134,233,471,124
0.045,0.0,0.864,11,0,3,7,1
0.058,0.044,0.786,350,40,122,127,61
0.105,0.042,0.713,136,29,34,63,10
0.115,0.024,0.699,37,6,15,10,6
0.085,0.053,0.816,87,10,33,30,14
0.08,0.028,0.705,203,23,69,77,34
0.069,0.036,0.713,257,34,72,126,25
0.05,0.047,0.678,244,43,72,96,33
0.086,0.068,0.7,110,21,28,48,13
0.088,0.037,0.801,27,8,7,10,2
0.047,0.046,0.412,222,25,36,145,16
0.121,0.045,0.799,28,4,6,16,2
0.006,0.002,0.992,110,1,3,105,1
0.12,0.097,0.745,27,5,8,11,3
0.113,0.048,0.617,63,10,24,20,9
0.055,0.062,0.883,16,0,7,9,0
0.08,0.03,0.827,110,15,44,39,12
0.045,0.03,0.514,639,51,136,411,41
0.089,0.016,0.854,24,2,12,9,1
0.06,0.042,0.862,56,2,27,23,4
0.075,0.05,0.674,850,125,300,333,92
0.043,0.043,0.776,29,3,12,12,2
0.096,0.017,0.741,68,11,18,32,7
0.067,0.045,0.755,583,90,173,251,69
